title_processed,abstract_processed
information_retrieval methods for automatic_speech_recognition,in this paper we use information_retrieval ir techniques to improve a speech_recognition asr system the potential benefits include improved speed accuracy and scalability where conventional hmmbased speech_recognition_systems decode words directly our irbased system first decodes subword units these are then mapped to a target word by the ir system in this decoupled system the ir serves as a lightweight datadriven pronunciation model our proposed method is evaluated in the windows live search for mobile wls4m task and our best system has 12 fewer errors than a comparable hmm classifier we show that even using an inexpensive ir weighting scheme tfidf yields a 3 relative error rate reduction while maintaining all of the advantages of the ir approach
a decision making model using soft set and rough set on fuzzy approximation spaces,in modern era of computing there is a need of development in data analysis and decision making most of our tools are crisp deterministic and precise in character but general real life situations contains uncertainties to handle such uncertainties many theories are developed such as fuzzy set rough set rough set on fuzzy approximation spaces etc but all these theories have their own limitations to overcome the limitations the concept of soft set is introduced but soft set also fails if the attributes in the information_system are almost identical rather exactly identical in this paper we propose a decision making model that consists of two processes such as preprocess and postprocess to mine decisions in preprocess we use rough set on fuzzy approximation spaces to get the almost equivalence_classes whereas in postprocess we use soft set techniques to obtain decisions the proposed model is tested over an institutional dataset and the results show practical viability of the proposed research
the influence of parental and peer attachment on internet usage motives and addiction,the impact of parental and peer attachment on four internet usage motives and internet addiction was compared using path modelling of survey data from 1577 adolescent malaysian school students the model accounted for 31 percent of internet addiction score variance lesser parental attachment was associated with greater internet addiction risk psychological escape motives were more strongly related to internet addiction than other motives and had the largest mediating effect upon the parental attachmentaddiction relationship peer attachment was unrelated to addiction risk its main influence on internet usage motives being encouragement of use for social interaction it is concluded that dysfunctional parental attachment has a greater influence than peer attachment upon the likelihood of adolescents becoming addicted to internetrelated activities it is also concluded that the need to relieve dysphoria resulting from poor adolescentparent relationships may be a major reason for internet addiction and that parents fostering of strong bonds with their children should reduce addiction risk
an integer programming based approach for verification and diagnosis of workflows,workflow analysis is indispensable to capture modeling errors in workflow designs while several workflow analysis approaches have been defined previously these approaches do not give precise feedback thus making it hard for a designer to pinpoint the exact cause of modeling errors in this paper we introduce a novel approach for analyzing and diagnosing workflows based on integer programming ip each workflow model is translated into a set of ip constraints faulty control flow connectors can be easily detected using the approach by relaxing the corresponding constraints we have implemented this diagnosis approach in a tool called diagflow which reads and diagnoses xpdl models using an existing open source ip solver as a backend we show that the diagnosis approach is correct and illustrate it with realistic examples moreover the approach is flexible and can be extended to handle a variety of new constraints as well as to support new workflow_patterns results of testing on large process_models show that diagflow outperforms a state of the art tool like woflan in terms of the solution time
a hybrid wireless_network enhanced with multihopping for emergency communications,this paper proposes a hybrid wireless_network scheme enhanced with ad hoc networking for disaster damage assessment and emergency communications the network aims to maintain the connection between a base_station bs and nodes by way of multihopping in the event that a direct link between bs and a node is disconnected the node switches modes from cellular to ad hoc in order to access bs via neighboring nodes a routing_protocol proposed in this paper is capable of building a route using unicastbased route_discovery_process without route request flooding a proposed mac_protocol satisfies the requirement of maintaining accessibility and a short delay even in emergency circumstances we discuss an analytical model based on a markov_process experimental results are shown regarding reachability throughput and delay
a waveletlike filter based on neuron action potentials for analysis of human scalp electroencephalographs,this paper describes the development and testing of a waveletlike filter named the snap created from a neural activity simulation and used in place of a wavelet in a wavelet_transform for improving eeg wavelet_analysis intended for braincomputer interfaces the hypothesis is that an optimal wavelet can be approximated by deriving it from underlying components of the eeg the snap was compared to standard wavelets by measuring support_vector machinebased eeg_classification accuracy when using different waveletsfilters for eeg_analysis when classifying p300 evoked potentials the error as a function of the waveletfilter used ranged from 692 to 1199 almost twofold classification using the snap was more accurate than that with any of the six standard wavelets tested similarly when differentiating between preparation for left or righthand movements classification using the snap was more accurate 1003 error than for four out of five of the standard wavelets 954 to 1200 error and internationally competitive 7 error on the 2001 nips competition test_set phenomena shown only in maps of discriminatory eeg activity may explain why the snap appears to have promise for improving eeg wavelet_analysis it represents the initial exploration of a potential family of eegspecific wavelets
distributed multi class svm for large data sets,data mining_algorithms are originally designed by assuming the data is available at one centralized site these algorithms also assume that the whole data is fit into main memory while running the algorithm but in todays scenario the data has to be handled is distributed even geographically bringing the data into a centralized site is a bottleneck in terms of the bandwidth when compared with the size of the data in this paper for multiclass svm we propose an algorithm which builds a global svm_model by merging the local svms using a distributed approachdsvm and the global svm will be communicated to each site and made it available for further classification the experimental analysis has shown promising results with better accuracy when compared with both the centralized and ensemble method the time complexity is also reduced drastically because of the parallel construction of local svms the experiments are conducted by considering the data sets of size 100s to hundred of 100s which also addresses the issue of scalability
across boundaries of influence and accountability the multiple scales of public sector information_systems,the use of icts in the public sector has long been touted for its potential to transform the institutions that govern and provide social services the focus however has largely been on systems that are used within particular scales of the public sector such as at the scale of state or national government the scale of regional or municipal entity or at the scale of local service providers the work presented here takes aim at examining ict use that crosses these scales of influence and accountability we report on a year long ethnographic investigation conducted at a variety of social service outlets to understand how a shared information_system crosses the boundaries of these very distinct organizations we put forward that such systems are central to the work done in the public sector and represent a class of collaborative_work that has gone understudied
symmetric exponential integrators with an application to the cubic schrdinger equation,in this article we derive and study symmetric exponential integrators numerical_experiments are performed for the cubic schrodinger equation and comparisons with classical exponential integrators and other geometric methods are also given some of the proposed methods preserve the l 2norm andor the energy of the system
limits of homology detection by pairwise sequence comparison,motivation noise in database_searches resulting from random_sequence similarities increases as the databases expand rapidly the noise problems are not a technical shortcoming of the database_search programs but a logical consequence of the idea of homology searches the effect can be observed in simulation experiments results we have investigated noise levels in pairwise alignment based database_searches the noise levels of 38 releases of the swissprot database display perfect logarithmic growth with the total length of the databases clustering of real biological sequences reduces noise levels but the effect is marginal
word boundary decision with crf for chinese_word_segmentation,
business_process development in semanticallyenriched environment,middleware support for business_process_management bpm has met some of the challenges with respect to encoding performance and maintenance of workflows a remaining challenge is complexity business_processes are becoming widely distributed interoperating across a range of inter and intraorganizational behaviours vocabularies and semantics it is important that this semantic complexity is checked and analyzed for optimality and trustworthiness prior to deployment petri_nets are a formal_method that successfully provides behavioural analysis a shortcoming of petri_nets is that the data exchanged between business_activities abstract too far away from the importance of data in actual business_processes this paper addresses this abstraction gap via additional semantic enrichment through a two stage modeldriven approach
distributed dynamic scheduling for endtoend rate guarantees in wireless_ad_hoc_networks,we present a framework for the provision of deterministic endtoend bandwidth guarantees in wireless_ad_hoc_networks guided by a set of local feasibility conditions multihop sessions are dynamically offered allocations further translated to link demands using a distributed time_division_multiple_access tdma protocol nodes adapt to the demand changes on their adjacent links by local conflictfree slot reassignments as soon as the demand changes stabilize the nodes must incrementally converge to a tdma schedule that realizes the global link and session demand allocationwe first derive sufficient local feasibility conditions for certain topology classes and show that trees can be maximally utilizedwe then introduce a converging distributed link_scheduling algorithm that exploits the logical tree structure that arises in several ad_hoc_network applicationsdecoupling bandwidth_allocation to multihop sessions from link_scheduling allows support of various endtoend quality_of_service qos objectives we focus on the maxmin fairness mmf objective and design an endtoend asynchronous distributed_algorithm for the computation of the session mmf rates once the endtoend algorithm converges the link_scheduling algorithm converges to a tdma schedule that realizes these rateswe demonstrate the applicability of this framework through an implementation over an existing wireless_technology this implementation is free of restrictive assumptions of previous tdma approaches it does not require any apriori knowledge on the number of nodes in the network nor even networkwide slot synchronization
evaluating various branchprediction schemes for biomedicalimplant processors,this paper evaluates various branchprediction schemes under different cache configurations in terms of performance power energy and area on suitably selected biomedical workloads the benchmark suite used consists of compression encryption and dataintegrity algorithms as well as real implant applications all executed on realistic biomedical input datasets results are used to drive the microarchitectural design of a novel microprocessor targeting microelectronic implants our profiling study has revealed that under strict or relaxed area constraints and regardless of cache_size the always taken and always nottaken static prediction schemes are in almost all cases the most suitable choices for the envisioned implant processor it is further shown that bimodal predictors with small branchtargetbuffer btb tables are suboptimal yet also attractive solutions when processor idcache sizes are up to 1024kb512kb respectively
a new user authentication_protocol for mobile_terminals in wireless_network,for constructing a ubiquitous network the highspeed wireless_lan wlan attracts attention as an infrastructure for global access however some issues are impeding further adoption of the technology in particular security_problems including user_authentication message compromising password theft connection hijacking etc in this paper we discuss a fast authentication method of mobile ubiquitous terminals in wlan to achieve an efficient access_control between access_points aps and mobile_terminals and sharing of a session_key between terminals we propose a new user secure authentication method and a session key_distribution protocol based on service ticket issuing system
on the basis of the generated foundation of blended elearning  transcendence and integration,learning theory develops in the constant process of transcendence and integration not only from knowledge to people but also its theory approaches are all beyond each other and integration therefore the emergence of blended e_learning is inevitable which is based on the theoretical studys transcendence and integration and as a learning concepts and theories blended e_learning is also bound to each other than with the integration such mutual transcendence and integration of learning theory is just an important basis for the starting point
an improved signcryption scheme and its variation,signcryption is a new cryptographic primitive which simultaneously provides both confidentiality and authenticity this paper proposes an improved signcryption scheme and a variant scheme providing message_recovery the first scheme is revised from an authenticated encryption scheme which has been found to have a securityflaw our scheme solves the securityflaw and provides an additional property called the public_verifiability of the signature the second scheme is a message_recovery type it surpasses most of the current signcryption_schemes on the size of the signcrypted ciphertext that is in our second scheme we require only two parameters r s with r epsi z p  and s epsi z  q  while most signcryption_schemes require three parameters c r s with the additional parameter c epsi z p  this second scheme is modified from an authenticated encryption scheme with message_recovery and surpasses the based authenticated encryption scheme on the property of nonrepudiation of the origin
a new network_architecture with intelligent node in to enhance ieee 80214 hfc networks,in the hybrid fibercoax hfc architecture over several hundreds subscribers in catv community antenna tv network may cause serious collisions in this paper we propose a new network_architecture which using an intelligent node in to stand for a group of subscribers to request the demand resources the in has the ability to reduce the collision probability as well as the collision resolving period the simulation results show that the proposed architecture in terms of throughput buffer delay and fairness outperforms the standard architecture
dynamic_load_balancing schemes for computing accessible surface area of protein molecules,this paper presents an experimental study of dynamic_load_balancing methods for a parallelized solution to a wellknown problem in computational molecular biology computing the accessible surface areas asa of proteins the main contribution is a better understanding of how certain techniques for load estimation and redistribution must be combined carefully for effectiveness and how these combinations need to change during the course of a computation in particular the shrakerupley asa algorithm is implemented and three aspects of dynamic_load_balancing are studied how to estimate load_imbalance the estimation problem when to invoke load redistribution the invocation problem and how to load balance the mapping problem the results in this paper show that a dynamicallyselected mix of algorithms in each category that adapts to changing structure within the protein works better than a static periodic application of a static mix of algorithms
level crossing rate and average fade duration of mrc and egc diversity in ricean fading,the average level crossing rate and average fade duration of the output signal of a maximal ratio combiner mrc and equal gain combiner egc operating on independent ricean fading input branch signals are derived exact closedform results are obtained for mrc diversity while precise expressions for egc diversity are presented with an infinite series method the results are valid for an arbitrary number of independent identically distributed diversity branches isotropic scattering and a specular component perpendicular to the line of motion of the mobile
design and implementation of wire diameter,this paper presents the design and implementation of wire diameter the wire diameter is an open source implementation of diameter based protocol and diameter eap application developed by the wireless internet research  engineering wire laboratory research has shown that traditional radius protocol may suffer performance degradation and data loss in a large system diameter thus was proposed to address the deficiencies in radius both 3gpp and 3gpp2 have adopted diameter as their aaa protocol the wire diameter could be used to authenticate and authorize 8021x supplicant it provides various authentication schemes including eapmd5 eaptls eapttls and peap the wire diameter is developed to be independent of os as much as possible currently it supports linux freebsd and various versions of ms windows it is believed that the wire diameter is the first open source implementation of diameter eap application in the world the source_code can be downloaded freely the wire diameter should be useful for the research community this paper demonstrates the design and implementation of the wire diameter
stability and performance of intersecting aircraft flows under decentralized conflict avoidance rules,this paper considers the problem of two intersecting aircraft flows under decentralized conflict resolution rules considering aircraft flowing through a fixed control volume new air traffic control models and scenarios are defined that enable the study of longterm aircraft flow stability for a class of two intersecting aircraft flows this paper considers conflict scenarios involving arbitrary encounter angles it is shown that aircraft flow stability defined both in terms of safety and performance is preserved under the decentralized conflict resolution algorithm considered it is shown that the lateral deviations experienced by aircraft in each flow are bounded
informational acquisition and cognitive_models,abstractrnrnlife forms must organize information into cognitive_models reflecting the outside environment and in a complex and changing environment a life form must constantly select and organize this mass of information to avoid slipping into a chaotic cognitive state the task of developing and maintaining adaptive cognitive_models can be understood through two processes crucial to regulating the interconnections between environmental elements the inclusion and exclusion of information follows a process designated by p and the process by which cognitive_models change is designated by k higher order concepts are created by reducing the interconnections between elements to a minimal number to avoid cognitive chaos  2004 wiley periodicals inc complexity 93137 2004
contextual motion fieldbased distance for video analysis,in this work we propose a general method for computing distance between video frames or sequences unlike conventional appearancebased methods we first extract motion_fields from original videos to avoid the huge memory requirement demanded by the previous approaches we utilize the bag of motion_vectors model and select gaussian_mixture_model as compact representation thus estimating distance between two frames is equivalent to calculating the distance between their corresponding gaussian_mixture_models which is solved via earth mover distance emd in this paper on the basis of the interframe distance we further develop the distance measures for both full video sequencesrnrnour main contribution is fourfold firstly we operate on a tangent vector field of spatiotemporal 2d surface manifold generated by video motions rather than the intensity gradient space here we argue that the former space is more fundamental secondly the correlations between frames are explicitly exploited using a generative_model named dynamic conditional_random_fields dcrf under this framework motion_fields are estimated by markov volumetric regression which is more robust and may avoid the rank deficiency problem thirdly our definition for video distance is in accord with human intuition and makes a better tradeoff between frame dissimilarity and chronological ordering lastly our definition for frame distance allows for partial distance
minimum effort inverse_kinematics for redundant_manipulators,this paper investigates the use of an infinity norm in formulating the optimization measures for computing the inverse_kinematics of redundant arms the infinity norm of a vector is its maximum absolute value component and hence its minimization implies the determination of a minimum effort solution as opposed to the minimumenergy criterion associated with the euclidean norm in applications where individual magnitudes of the vector components are of concern this norm represents the physical requirements more closely than does the euclidean norm we first study the minimization of the infinitynorm of the joint velocity vector itself and discuss its physical interpretation next a new method of optimizing a subtask criterion defined using the infinitynorm to perform additional tasks such as obstacle_avoidance or joint limit avoidance is introduced simulations illustrating these methods and comparing the results with the euclidean norm solutions are presented
a traceability technique for specifications,traceability in software involves discovering links between different artifacts and is useful for a myriad of tasks in the software life cycle we compare several different information_retrieval techniques for this task across two datasets involving realworld software with the accompanying specifications and documentation the techniques compared include dimensionality_reduction methods probabilistic and information theoretic approaches and the standard vector_space_model
a generic tensionclosure analysis method for fullyconstrained cabledriven parallel_manipulators,cabledriven parallel_manipulators cdpms are a special class of parallel_manipulators that are driven by cables instead of rigid links due to the unilateral property of the cables all the driving cables in a fullyconstrained cdpm must always maintain positive tension as a result tension analysis is the most essential issue for these cdpms by drawing upon the mathematical theory from convex analysis a sufficient and necessary tensionclosure condition is proposed in this paper the key point of this tensionclosure condition is to construct a critical vector that must be positively expressed by the tension vectors associated with the driving cables it has been verified that such a tensionclosure condition is general enough to cater for cdpms with different numbers of cables and dofs using the tensionclosure condition a computationally efficient_algorithm is developed for the tensionclosure pose analysis of cdpms in which only a limited set of deterministic linear equation systems need to be resolved this algorithm has been employed for the tensionclosure workspace_analysis of cdpms and verified by a number of computational examples the computational_time required by the proposed algorithm is always shorter as compared to other existing algorithms
parallel support_vector_machines the cascade svm,we describe an algorithm for support_vector_machines svm that can be parallelized efficiently and scales to very large problems with hundreds of thousands of training vectors instead of analyzing the whole training_set in one optimization step the data are split into subsets and optimized separately with multiple svms the partial results are combined and filtered again in a cascade of svms until the global optimum is reached the cascade svm can be spread over multiple processors with minimal communication_overhead and requires far less memory since the kernel_matrices are much smaller than for a regular svm convergence to the global optimum is guaranteed with multiple passes through the cascade but already a single pass provides good generalization a single pass is 5x  10x faster than a regular svm for problems of 100000 vectors when implemented on a single processor parallel_implementations on a cluster of 16 processors were tested with over 1 million vectors 2class problems converging in a day or two while a regular svm never converged in over a week
estimation of heartsurface potentials using regularized multipole sources,direct inference of heartsurface potentials from bodysurface potentials has been the goal of most recent work on electrocardiographic inverse solutions we developed and tested indirect methods for inferring heartsurface potentials based on estimation of regularized multipole sources regularization was done using tikhonov constrainedleastsquares and multipoletruncation techniques these multipoleequivalent methods mems were compared to the conventional mixed boundaryvalue method bvm in a realistic torso model with up to 20 noise added to bodysurface potentials and spl plusmn1 cm error in heart position and size optimal regularization was used for all inverse solutions the relative error of inferred heartsurface potentials of the mem was significantly less p005 than that of the bvm using zerothorder tikhonov regularization in 10 of the 12 cases tested these improvements occurred with a fourthdegree 24 coefficients or smaller multipole moment from these multipole coefficients heartsurface potentials can be found at an unlimited number of heartsurface locations our indirect methods for estimating heartsurface potentials based on multipole inference appear to offer significant improvement over the conventional direct approach
towards runtime testing in automotive embedded_systems,runtime testing is a common way to detect faults during normal system operation to achieve a specific diagnostic coverage runtime testing is also used in safety critical automotive embedded_systems in this paper we propose a test architecture to consolidate the hardware resource consumption and timing needs of runtime tests and of application and system tasks in a hard realtime embedded_system as applied to the automotive domain special emphasis is put to timing requirements of embedded_systems with respect to hard realtime and concurrent hardware resource accesses of runtime tests and tasks running on the target system
an environment for reconfiguration and execution managenment of flexible radio platforms,this paper presents the flexible radio kernel frk a configuration and execution management environment for hybrid hardwaresoftware flexible radio platform the aim of frk is to manage platform reconfiguration for multimode multistandard operation with different levels of abstraction a high level framework is described to manage multiple mac layers and to enable mac cooperation algorithms for cognitive_radio a lowlevel environment is also available to manage platform reconfiguration for radio operations radio can be implemented using hardware or software elements configuration state is hidden to the highlevel layers offering pseudo concurrency time sharing properties this study presents a global view of frk with details on some specific parts of the environment a practical study with algorithmic description is presented
a simple approach to evaluate the ergodic_capacity and outage_probability of correlated rayleigh diversity channels with unequal signaltonoise ratios,in this article we propose a novel method to derive exact closedform ergodic_capacity and outage_probability expressions for correlated rayleigh_fading_channels with receive_diversity unlike the existing works the proposed method employ a simple approach for the capacity and outage_analysis for receiver diversity channels operating at different signaltonoise ratios depicted in the diagonal elements of matrix  with x being the channel gain vector random_variable of the form yaa  x x is considered novelty of the work resides in the fact that the distribution of ya is accurately determined by employing fourier representation of unit step function followed by complex integration in a straight forward way the ergodic channel_capacity is thus calculated by using the firstorder moment n                  n                    n                  n                  n                    n                      en                      n                      n                        n                          logn                        n                        n                          2n                        n                      n                      n                      yn                      n                      1n                      n                      n                      n                    n                  n                 while the outage_probability for a certain threshold 0is evaluated using n                  n                    n                  n                  n                    n                      n                        n                          n                        n                        n                          0n                        n                        n                          n                            n                              n                            n                            n                              0n                            n                          n                        n                      n                      n                        n                          fn                        n                        n                          yn                          n                          0n                          n                        n                      n                      n                      yn                      n                      dyn                    n                  n                 extensive experiments have been conducted demonstrating the accuracy of the proposed approach
on the feasibility of synthesizing cad software from specifications generating maze router tools in elf,the application of program synthesis techniques to the generation of technologysensitive vlsi physical design tools is described the architecture and implementation of a particular software generator called elf targeted at the generation of maze routing software is described elf strives to meet the demands of the target technology by automatically generating maze router implementations to match the application requirements elf has three key features first a very high level language lacking data structure implementation specifications is used to describe algorithm design styles second applicationspecific expertise about routing and application independent code synthesis techniques are used to guide search among alternative design styles for algorithms and data structures third code_generation is used to transform the resulting abstract descriptions of selected algorithms and data structures into final executable code code_generation is an incremental stepwise refinement process experimental results are presented covering several correct fully functional routers synthesized by elf from varying highlevel specifications results from synthetic and industrial benchmarks are examined to illustrate elfs capabilities 
canonical sequence directed tactics analyzer for computer go games,we present an approach used in csdta canonical sequence directed tactics analyzer that uses canonical sequences joseki in hoping to improve computer go programs we collect 1278 canonical sequences and their deviations in our system instead of trivially matching the current game to the collected sequences we define a notion of similarity to extract the most suitable move from the candidate sequences for the next move the simplicity of our method and its positive outcome make our approach a promising tool to be integrated into a complete computer go program for a foreseeable improvement
an improved approximation to the estimation of the critical f values in best subset regression,variable selection methods are routinely applied in regression_modeling to identify a small number of descriptors which best explain the variation in the response variable most statistical packages that perform regression have some form of stepping algorithm that can be used in this identification process unfortunately when a subset of p variables measured on a sample of n objects are selected from a set of kp to maximize the squared sample multiple_regression coefficient the significance of the resulting regression is upwardly biased the extent of this bias is investigated by using monte carlo simulation and is presented as an inflation factor which when multiplied by the usual tabulated f ratio gives an estimate of the true 5 critical value the results show that selection bias can be very high even for moderatesize data sets selecting three variables from 50 generated at random with 20 observations will almost certainly provide a significant result if the usual tabulated f values are used an interpolation formula is provided for the calculation of the inflation factor for different combinations of n p k four real_data_sets are examined to illustrate the effect of correlated descriptor variables on the degree of inflation
multikmhks a novel multiple kernel_learning algorithm,in this paper we develop a new effective multiple kernel_learning algorithm first we map the input data into m different feature spaces by m empirical kernels where each generated feature_space is taken as one view of the input space then through borrowing the motivating argument from canonical correlation_analysis cca that can maximally correlate the m views in the transformed coordinates we introduce a special term called interfunction similarity loss r ifsi  into the existing regularization framework so as to guarantee the agreement of multiview outputs in implementation we select the modification of hokashyap algorithm with squared approximation of the misclassification errors mhks as the incorporated paradigm and the experimental results on benchmark data sets demonstrate the feasibility and effectiveness of the proposed algorithm named multikmhks
on the rank of random sparse_matrices,we investigate the rank of random symmetric sparse_matrices our main finding is that with high probability any dependency that occurs in such a matrix is formed by a set of few rows that contains an overwhelming number of zeros this allows us to obtain an exact estimate for the corank
maximum utility peer_selection for p2p_streaming in wireless_ad_hoc_networks,in the recent years the peertopeer p2p overlay_network has been a promising architecture for multimedia_streaming services besides its common use for efficient file_sharing by simply increasing the number of peers the p2p overlay_network can meet the high bit rate requirements of multimedia applications optimal peer_selection for newly joining peers is one of the important problems especially in wireless_networks which have limited resources and capacity since the peer_selection process has a direct impact on the throughput of the underlay network and the coexisting unicast_traffic in this paper we tackle the problem of peer_selection for streaming_applications over wireless_ad_hoc_networks we devise a novel peer_selection algorithm which maximizes the throughput of the underlay network and at the same time makes p2p_streaming friendly towards the coexisting data traffic the proposed receiver based rate allocation and peer_selection rps algorithm is derived using the network_utility_maximization num framework the algorithm solves the peer_selection and rate allocation problem distributedly while optimally adapting the medium_access_control mac_layer parameters and is easily extensible to large p2p_networks simulation results show that by using the proper price exchange mechanism the peer receivers can effectively maximize the throughput of the underlay network by intelligently selecting its source peers
timedependent groundwater modeling using spreadsheet,abstractrnrntimedependent groundwater modeling using spreadsheet simulation tgmss model is developed as solution technique it is a practical method that uses spreadsheets instead of the conventional solution_methods all of the aquifer parameters can easily be described in tgmss model the results of tgmss are validated with modflow results showed that tgmss and modflow results were in good agreement in terms of resulting values of hydraulic heads  2005 wiley periodicals inc comput appl eng educ 13 192199 2005 published online in wiley interscience wwwintersciencewileycom doi 101002cae20048
a simulation tool to study highfrequency chest compression energy transfer mechanisms and waveforms for pulmonary disease applications,highfrequency chest compression hfcc can be used as a therapeutic intervention to assist in the transport and clearance of mucus and enhance water secretion for cystic fibrosis patients an hfcc pumpvest and half chestlung simulation with 23 lung generations has been developed using inertance compliance viscous friction relationships and newtons second law the simulation has proven to be useful in studying the effects of parameter variations and nonlinear_effects on hfcc system performance and pulmonary system response the simulation also reveals hfcc waveform structure and intensity changes in various segments of the pulmonary system the hfcc system simulation results agree with measurements indicating that the hfcc energy transport mechanism involves a mechanically induced pulsation or vibration waveform with average velocities in the lung that are dependent upon small air displacements over large areas associated with the vestchest interface in combination with information from lung physiology autopsies and a variety of other lung modeling efforts the results of the simulation can reveal a number of therapeutic implications
distributedinformation neural control the case of dynamic routing in traffic_networks,largescale traffic_networks can be modeled as graphs in which a set of nodes are connected through a set of links that cannot be loaded above their traffic capacities traffic flows may vary over time then the nodes may be requested to modify the traffic flows to be sent to their neighboring nodes in this case a dynamic routing problem arises the decision makers are realistically assumed 1 to generate their routing decisions on the basis of local information and possibly of some data received from other nodes typically the neighboring ones and 2 to cooperate on the accomplishment of a common goal that is the minimization of the total traffic cost therefore they can be regarded as the cooperating members of informationally distributed organizations which in control engineering and economics are called team organizations team optimal control_problems cannot be solved analytically unless special assumptions on the team model are verified in general this is not the case with traffic_networks an approximate resolutive method is then proposed in which each decision maker is assigned a fixedstructure routing function where some parameters have to be optimized among the various possible fixedstructure functions feedforward_neural_networks have been chosen for their powerful approximation capabilities the routing functions can also be computed or adapted locally at each node concerning traffic_networks we focus attention on storeandforward packet switching_networks which exhibit the essential peculiarities and difficulties of other traffic_networks simulations performed on complex communication_networks point out the effectiveness of the proposed method
matching of pdb chain sequences to information in public databases as a prerequisite for 3d functional site visualization,the 3d structures of biomacromolecules stored in the protein_data_bank 1 were correlated with different external biological information from public databases we have matched the feature table of swissprot 2 entries as well interpro 3 domains and function sites with the corresponding 3dstructures omim 4 online mendelian inheritance in man records containing information of genetic disorders were extracted and linked to the structures the exhaustive allagainstall 3d structure comparison of protein structures stored in dali 5 was condensed into single files for each pdb entry results are stored in xml_format facilitating its incorporation into related software the resulting annotation of the protein structures allows functional sites to be identified upon visualization availability httplegergbfdepdbxml
l2 optimization in discrete fir estimation exploiting statespace structure,this paper studies the l2 meansquare optimal_design of discretetime fir estimators a solution procedure which reduces the problem to a static matrix optimization problem admitting a closedform solution is proposed in the latter solution a special statespace structure of the associated matrices is exploited to obtain efficient formulae with the computational complexity proportional to the length of the impulse_response of the estimator unlike previously available leastsquare fir results our treatment does not impose unnecessarily restrictive assumptions on the process dynamics and can handle interpolation constraints on the unit circle which facilitates the inclusion of steadystate performance requirements
application of plane waves for accurate measurement of microwave scattering from geophysical surfaces,the authors utilized the concept of a compact antenna range to obtain planewave illumination to accurately measure scattering properties of simulated sea ice they also made simultaneous measurements using conventional antennas measured scattering coefficients obtained with the planewave system at 10 ghz decreased by about 35 db when the incidence angle increased from 0spl deg to 10spl deg scattering coefficients derived from data collected with the radar system at 135 ghz using conventional farfield antennas decreased by about 20 db over the same angular region this demonstrates that the farfield properties of a widebeam antenna are inadequate for measuring the angular scattering response of smooth surfaces they believe that application of the compact antenna range concept for scattering measurements has a wide range of applications and is the solution to the longstanding problem of how to directly measure scattering consisting of coherent and incoherent components 
an experimental clp platform for integrity constraints and abduction,
a parallelized surface extraction algorithm for large binary image data sets based on an adaptive 3d delaunay subdivision strategy,in this paper we describe a novel 3d subdivision strategy to extract the surface of binary image data this iterative approach generates a series of surface meshes that capture different levels of detail of the underlying structure at the highest level of detail the resulting surface mesh generated by our approach uses only about 10 percent of the triangles in comparison to the marching cube mc algorithm even in settings where almost no image_noise is present our approach also eliminates the socalled staircase effect which voxelbased algorithms like the mc are likely to show particularly if nonuniformly sampled images are processed finally we show how the presented algorithm can be parallelized by subdividing 3d image space into rectilinear blocks of subimages as the algorithm scales very well with an increasing number of processors in a multithreaded setting this approach is suited to process large image data sets of several gigabytes although the presented work is still computationally more expensive than simple voxelbased algorithms it produces fewer surface triangles while capturing the same level of detail is more robust toward image_noise and eliminates the abovementioned staircase effect in anisotropic settings these properties make it particularly useful for biomedical applications where these conditions are often encountered
