Label,Frequency
automatic programming,1
automatic code generations,1
automatic code generation,1
object-oriented programming,1
context sensitive grammars,1
concurrency control,1
locks (fasteners),1
multicore programming,1
engineers,1
heavy oil production,1
passive networks,1
semiconductor optical amplifier (soa),1
semiconductor optical amplifiers,1
semiconductor optical amplifier,1
all-optical,1
light modulation,1
spatial light modulators,1
beam shaping,1
beam-shaping,1
spatial light modulator,1
laser tuning,1
tunable lasers,1
tunable laser,1
digital holography,1
electron holography,1
laser recording,1
aspherics,1
silicon photonics,1
photonic integration technology,1
microring resonator,1
photonic integrated circuits,1
slow light,1
ring resonator,1
ring resonators,1
microcavities,1
whispering gallery modes,1
whispering gallery mode,1
microcavity,1
demultiplexing,1
demultiplexers,1
demultiplexer,1
chromatic dispersion,1
single mode fibers,1
polarization mode dispersion,1
multimode fibers,1
crystal whiskers,1
microstructured fibers,1
air holes,1
supercontinuum generation,1
supercontinuum generations,1
optical fiber fabrication,1
optical fiber coupling,1
long period gratings,1
fabry-perot,1
optical fiber sensor,1
optical fiber sensors,1
brillouin scattering,1
stimulated brillouin scattering,1
optical signal processing,1
optical signals,1
optical interconnects,1
electric power system interconnection,1
surface emitting lasers,1
dbr,1
vertical cavity surface emitting laser,1
vertical-cavity surface emitting laser,1
quantum well lasers,1
quantum well,1
semiconductor quantum wires,1
molecular beams,1
inas,1
indium antimonides,1
semiconducting indium,1
swir,1
quantum wells,1
optically pumped lasers,1
semiconducting indium phosphide,1
semiconducting indium compounds,1
semiconducting aluminum compounds,1
dense wavelength division multiplexing,1
optical interconnect,1
four wave mixing,1
parametric amplifiers,1
four-wave mixing,1
software frameworks,1
software framework,1
testability,1
"image interpretation, computer-assisted",1
diffusion magnetic resonance imaging,1
fractional anisotropy,1
mean diffusivity,1
uncinate fasciculus,1
arcuate fasciculus,1
tractography,1
ultrasonic imaging,1
ultrasonic transducers,1
ultrasonic testing,1
guided wave,1
guided waves,1
acoustic imaging,1
ultrasound imaging,1
ultrasound images,1
ultrasound image,1
ultrasound contrast agent,1
ultrasound contrast agents,1
optical tomography,1
computer assisted impedance tomography,1
computer assisted diagnosis,1
"diagnosis, computer-assisted",1
radiographic image enhancement,1
"tomography, spiral computed",1
cone-beam computed tomography,1
"radiotherapy, image-guided",1
four-dimensional computed tomography,1
four dimensional computed tomography,1
cone beam computed tomography,1
"radiographic image interpretation, computer-assist",1
electronic commerce,1
electronic data interchange,1
online auctions,1
online auction,1
customer values,1
customer value,1
e-business models,1
business models,1
business model,1
electronic document exchange,1
e-books,1
ebooks,1
electronic services,1
e-services,1
e-service,1
sales,1
retail stores,1
customer services,1
customer service,1
inventory levels,1
inventory costs,1
queueing system,1
queueing systems,1
conceptual design,1
electronic document identification systems,1
signature scheme,1
random oracle,1
certificateless,1
identity-based,1
id-based,1
key escrow,1
identity based cryptography,1
identity-based cryptography,1
authenticated key agreement protocols,1
authenticated key agreement,1
signcryption,1
broadcast encryption,1
identity based encryption,1
chosen ciphertext attack,1
proxy re encryptions,1
proxy re-encryption,1
chosen ciphertext security,1
identity-based encryption,1
ring signatures,1
ring signature,1
non-repudiation,1
standard model,1
identity management,1
group signatures,1
group signature,1
bilinear pairing,1
bilinear pairings,1
blind signature scheme,1
blind signatures,1
blind signature,1
discrete logarithms,1
discrete logarithm,1
discrete logarithm problems,1
discrete logarithm problem,1
proxy signer,1
proxy signature scheme,1
proxy signatures,1
proxy signature,1
forward security,1
multi-signature,1
forgery attacks,1
forgery attack,1
bilinear map,1
bilinear maps,1
random oracle models,1
random oracle model,1
anonymity,1
anonymous communication,1
rsa,1
modular multiplication,1
the standard model,1
public-key encryption scheme,1
public-key encryption,1
public key encryption,1
cryptanalysis,1
collision attack,1
compression functions,1
preimages,1
meet-in-the-middle,1
private key,1
secret key,1
encrypted data,1
secret sharing,1
visual cryptography,1
secret sharing schemes,1
threshold schemes,1
threshold scheme,1
secret sharing scheme,1
security model,1
security models,1
elliptic curve cryptosystem,1
side-channel attack,1
differential power analysis,1
side-channel,1
side-channel analysis,1
scalar multiplication,1
hamming weights,1
hamming weight,1
side channel attacks,1
side channel attack,1
side-channel attacks,1
elliptic curve cryptosystems,1
service selection,1
online environments,1
logistics industry,1
logistics services,1
logistics enterprise,1
information storage and retrieval,1
data-base management systems,1
database management system,1
information management,1
data management,1
information sharing,1
information quality,1
system quality,1
information exchanges,1
information exchange,1
world wide web,1
xml,1
html,1
http,1
hypertext systems,1
hyperlinks,1
hyperlink,1
authorization,1
servers,1
web servers,1
web server,1
application servers,1
application server,1
web caching,1
magnetic disk storage,1
raid,1
magnetic storage,1
password,1
remote user authentication schemes,1
remote user authentication,1
password authentication,1
mmog,1
massively multi-player online games,1
massively multiplayer online games,1
video-on-demand (vod),1
video on demand,1
video-on-demand,1
spamming,1
windows operating system,1
windows xp,1
domain names,1
domain name system,1
content delivery network,1
content delivery networks,1
client server computer systems,1
unstructured p2p network,1
peer-to-peer computing,1
electronic publishing,1
open access,1
academic libraries,1
digital libraries,1
digital preservation,1
bibliographic retrieval systems,1
public library,1
public libraries,1
digital library,1
search engines,1
online searching,1
retrieval (mir),1
image search,1
information need,1
information needs,1
database searches,1
database search,1
web crawlers,1
web crawler,1
test collection,1
test collections,1
relevance feedback,1
query images,1
metric spaces,1
fixed point theorems,1
positive solution,1
positive solutions,1
fixed point theorem,1
metric space,1
content-based image retrieval (cbir),1
content-based image retrieval,1
content based image retrieval,1
web content,1
web users,1
web-page,1
web page,1
web pages,1
search engine,1
phishing,1
phishing attacks,1
service compositions,1
ws-bpel,1
bpel,1
business process execution language,1
service composition,1
web application,1
sql injection,1
cross site scripting,1
cross-site scripting,1
multi-tier,1
web applications,1
peer-to-peer system,1
incentive mechanism,1
incentive mechanisms,1
overlay networks,1
distributed hash table (dht),1
distributed hash table,1
distributed hash tables,1
overlay network,1
dht,1
content distribution,1
p2p file sharing,1
resource discovery,1
free-riders,1
free-riding,1
file sharing,1
file-sharing,1
bittorrent,1
bit torrents,1
peer-to-peer systems,1
p2p system,1
p2p systems,1
p2p network,1
p2p networks,1
p2p,1
p2p applications,1
blog,1
blogs,1
intranet,1
intranets,1
e-science,1
escience,1
privacy,1
personal information,1
privacy policies,1
privacy policy,1
data protection,1
mutual authentication,1
replay attack,1
man in the middle attacks,1
man-in-the-middle attack,1
one way hash functions,1
one-way hash function,1
attribute-based encryption,1
attribute-based encryptions,1
data privacy,1
advanced encryption standard,1
advanced encryption standard (aes),1
computer system firewalls,1
firewall,1
computer worms,1
worm propagation,1
malwares,1
anti virus,1
botnets,1
botnet,1
honeypots,1
honeypot,1
spyware,1
spy-ware,1
cyber-crimes,1
cyber crime,1
malware,1
packet classification,1
ciphertexts,1
ciphertext,1
web-gis,1
web gis,1
collaborative virtual environment,1
collaborative virtual environments,1
video conferencing,1
digital contents,1
drm,1
digital content,1
prefetching,1
prefetches,1
prefetch,1
pre-fetching,1
multimedia communication,1
multimedia communications,1
management information systems,1
network management,1
network operations,1
network management systems,1
network management system,1
snmp,1
simple network management protocols,1
internet traffic,1
optical networks,1
transparent optical networks,1
light amplifiers,1
erbium doped fiber amplifiers,1
erbium,1
fiber amplifiers,1
pump power,1
fiber amplifier,1
co-doped,1
up-conversion luminescence,1
holmium,1
ring lasers,1
glass ceramics,1
up-conversion,1
upconversion,1
rare earths,1
rare earth,1
high power lasers,1
dc generators,1
inertial confinement fusion,1
laser excitation,1
amplified spontaneous emissions,1
amplified spontaneous emission,1
optical frequency conversion,1
phase matching,1
frequency conversion,1
frequency conversions,1
optical parametric oscillators,1
optical parametric oscillator,1
microwave amplifiers,1
pumping (laser),1
nd : yag lasers,1
nd:yag laser,1
neodymium lasers,1
chemical lasers,1
laser produced plasmas,1
plasma interactions,1
laser mode locking,1
continuous wave radar,1
optical fiber communication,1
optical fiber communications,1
non-linear optical properties,1
z-scan,1
nonlinear optical properties,1
wdm networks,1
wdm,1
wdm optical networks,1
optical network,1
it service management,1
itil,1
virtual networks,1
virtual network,1
home networks,1
home network,1
service quality,1
digital storage,1
distributed storage,1
cloud storage,1
cloud storages,1
deduplication,1
de duplications,1
flash memory,1
non-volatile,1
write operations,1
phase change memory,1
chalcogenides,1
chalcogenide,1
nonvolatile memory,1
non-volatile memories,1
non-volatile memory,1
storage systems,1
distributed storage system,1
distributed storage systems,1
storage system,1
map-reduce,1
mapreduce,1
role-based access control (rbac),1
role-based access control,1
role based access control,1
role-based access control model,1
rbac,1
steiner trees,1
steiner tree,1
game theory,1
game models,1
prisoners dilemma,1
evolutionarily stable strategy,1
optimal strategies,1
optimal strategy,1
evolutionary games,1
evolutionary game,1
nash equilibrium,1
non-cooperative games,1
noncooperative game,1
non-cooperative game,1
price of anarchy,1
congestion games,1
nash equilibria,1
cooperative game theory,1
shapley value,1
cooperative game,1
cooperative games,1
automata theory,1
computer metatheory,1
switching functions,1
social sciences,1
human sciences,1
gender classification,1
human behaviours,1
human behaviour,1
social science,1
formal languages,1
proposed architectures,1
vlsi architectures,1
vlsi architecture,1
memory architecture,1
memory systems,1
on chip memory,1
embedded memories,1
embedded memory,1
graphics hardware,1
graphics processor,1
graphics processors,1
global illumination,1
light transport,1
graph-based,1
computational resources,1
mutual informations,1
mutual information,1
descriptors,1
local descriptors,1
interest points,1
shape descriptors,1
shape descriptor,1
feature descriptors,1
feature descriptor,1
shape contexts,1
shape context,1
scale invariant feature transform (sift),1
sift feature,1
sift features,1
scale invariant feature transforms,1
scale invariant feature transform,1
sift,1
surf,1
descriptor,1
visual feature,1
visual features,1
hierarchical structures,1
hierarchical structure,1
pattern recognition,1
face recognition,1
face images,1
face database,1
illumination variation,1
illumination invariant,1
gabor feature,1
gabor features,1
3d faces,1
3d face recognition,1
face models,1
face modeling,1
active appearance models,1
active appearance model,1
head pose,1
facial expressions,1
facial expression recognition,1
facial images,1
human faces,1
eigenfaces,1
eigenface,1
facial feature points,1
facial feature,1
facial features,1
face detection,1
skin detection,1
skin color models,1
skin color model,1
illumination conditions,1
biometrics,1
fingerprint images,1
fingerprint matching,1
fingerprint recognition,1
orientation fields,1
orientation field,1
fingerprint identification,1
hamming distance,1
iris images,1
iris segmentation,1
false acceptance rate,1
fingerprint,1
fingerprints,1
biometric identifications,1
biometric identification,1
iris recognition,1
iris recognition systems,1
biometric informations,1
biometric authentication,1
biometric authentication system,1
cancelable biometrics,1
biometric template,1
template protection,1
multimodal biometric systems,1
multi-modal biometrics,1
multimodal biometrics,1
visual surveillance,1
gabor filter,1
gabor filters,1
gabor wavelets,1
gabor wavelet,1
local binary pattern (lbp),1
local binary patterns,1
local binary pattern,1
face recognition algorithms,1
face recognition systems,1
face recognition methods,1
writer identification,1
biometric,1
sparse approximations,1
sparse approximation,1
basis pursuit,1
basis pursuits,1
curvelet,1
curvelets,1
local feature,1
global feature,1
global features,1
local features,1
principle component analysis,1
principle component analysis (pca),1
appearance models,1
appearance model,1
feature vectors,1
object detection,1
background subtraction,1
foreground objects,1
detector circuits,1
moving-object detection,1
moving object detection,1
background model,1
background modeling,1
pose estimation,1
histogram equalizations,1
histogram equalization,1
camshift,1
thermal images,1
thermal image,1
object recognition,1
object tracking,1
partial occlusions,1
partial occlusion,1
tracking method,1
tracking process,1
tracking algorithm,1
image understanding,1
shape matching,1
image features,1
image feature,1
automatic target recognition,1
image matching,1
template matching,1
stereo matching,1
disparity map,1
stereo correspondences,1
stereo correspondence,1
feature matching,1
reference image,1
matching methods,1
matching process,1
color matching,1
color printing,1
color reproduction,1
block matching,1
block matching algorithms,1
block matching algorithm,1
stereo vision,1
binoculars,1
epipolar geometry,1
ego-motion,1
stereo cameras,1
stereo camera,1
stereo pair,1
stereo image,1
stereo-image,1
stereo images,1
structure from motion,1
structure-from-motion,1
gesture recognition,1
hand tracking,1
kinect,1
hand gesture,1
hand-gesture recognition,1
hand gesture recognition,1
hand posture,1
hand gestures,1
wearable computing,1
hough transform,1
hough transforms,1
graph matching,1
graph matchings,1
moving objects,1
moving object,1
shadow detection,1
shadow detections,1
gaussian filters,1
gaussian filter,1
pattern recognition systems,1
image retrieval,1
content based retrieval,1
fourier descriptors,1
fourier descriptor,1
content-based retrieval,1
color histogram,1
color features,1
color feature,1
color histograms,1
image database,1
image databases,1
video contents,1
linear discriminant analysis,1
linear discriminant analysis (lda),1
support vector,1
support vectors,1
retrieval models,1
retrieval accuracy,1
retrieval process,1
retrieval systems,1
retrieval performance,1
retrieval methods,1
character recognition,1
chinese characters,1
chinese character,1
binarizations,1
binarization,1
color images,1
color filter arrays,1
color filter array,1
rgb color space,1
hsv color spaces,1
demosaicing,1
demosaicking,1
color image,1
feature sets,1
feature space,1
feature recognition,1
form perception,1
"vision, binocular",1
vision disparity,1
stereopsis,1
"convergence, ocular",1
"dominance, ocular",1
stereoscopic vision,1
binocular convergence,1
contrast sensitivity,1
spatial frequency discrimination,1
spatial frequency,1
phonology,1
n400,1
vocabulary,1
multilingualism,1
"aphasia, broca",1
"aphasia, wernicke",1
cortical sensory aphasia,1
psycholinguistics,1
semantic memory,1
"pattern recognition, visual",1
wavelet analysis,1
wavelet denoising,1
wavelet de-noising,1
multiple signal classification,1
multiple signal classification (music),1
music algorithms,1
music algorithm,1
continuous wavelet transform,1
continuous wavelet transforms,1
wavelet transformations,1
wavelet transformation,1
scaling functions,1
scaling function,1
wavelet packet transforms,1
wavelet packet transform,1
pattern matching,1
two dimensional,1
one dimensional,1
one-dimensional,1
electron gas,1
two-dimensional (2d),1
image acquisition,1
super-resolution,1
high resolution image,1
low resolution images,1
super resolution algorithms,1
super resolution,1
superresolution,1
hier-archical clustering,1
hierarchical clustering,1
optical flows,1
maximum power point tracking,1
maximum power point,1
pv system,1
maximum power point tracking (mppt),1
telecontrol equipment,1
optical flow,1
active contour model,1
level set functions,1
intensity inhomogeneity,1
active contours,1
active contour,1
3d data,1
line drawings,1
line drawing,1
3d meshes,1
building model,1
3d-scanning,1
3d scanning,1
3d models,1
3d model,1
3d scenes,1
3d object,1
3d objects,1
segmented images,1
watershed transform,1
watershed segmentation,1
ct image,1
ct images,1
medical image processing,1
watershed transformations,1
watershed transformation,1
segmentation techniques,1
segmentation process,1
segmentation methods,1
segmentation results,1
segmentation algorithms,1
segmentation accuracy,1
clustering problems,1
number of clusters,1
k-means clustering,1
spectral clustering,1
clustering results,1
clustering process,1
clustering analysis,1
clustering approach,1
clustering techniques,1
clustering methods,1
clustering method,1
robotics,1
robots,1
machine design,1
robot designs,1
robot design,1
mechanical systems,1
mechanical system,1
cnc,1
computer numerical control,1
toolpaths,1
five-axis,1
tool path,1
numerical control systems,1
interpolation algorithms,1
interpolation algorithm,1
nc machining,1
nc-machining,1
tool wear,1
walking robots,1
walking robot,1
mechatronics,1
microelectromechanical systems,1
microelectromechanical systems (mems),1
remote control,1
remote monitoring,1
wheeled mobile robot,1
wheeled mobile robots,1
manipulators,1
degrees of freedom (mechanics),1
degrees of freedom,1
optical cables,1
manipulator,1
mobile platform,1
mobile platforms,1
vision systems,1
vision system,1
autonomous robot,1
autonomous robots,1
mobile robot navigation,1
autonomous mobile robot,1
autonomous mobile robots,1
force sensors,1
force sensor,1
motion planning,1
mobile robotic,1
navigation systems,1
integrated navigation systems,1
integrated navigation,1
global navigation satellite systems,1
galileo,1
gnss,1
air navigation,1
control towers,1
indoor positioning,1
inertial navigations,1
inertial navigation,1
positioning system,1
positioning systems,1
inertial sensor,1
inertial sensors,1
gyroscopes,1
gyroscope,1
gps signals,1
satellite navigation,1
satellite navigation systems,1
satellite navigation system,1
navigation system,1
ultrasonic sensors,1
ultrasonic sensor,1
automated guided vehicles,1
sonar,1
underwater imaging,1
mobile robots,1
mobile robot,1
biomimetics,1
biomimetic materials,1
biomimetic material,1
biomimetic,1
robot,1
mechanization,1
industrial robots,1
industrial robot,1
data association,1
data associations,1
micro assembly,1
handicapped persons,1
assistive technology,1
assistive technologies,1
applied (co),1
motion models,1
motion model,1
microactuators,1
fixtures (tooling),1
image analysis,1
image quality,1
video signal processing,1
high definition television,1
television standards,1
television picture quality,1
television transmission,1
television receivers,1
digital videos,1
digital video,1
motion compensation,1
motion vectors,1
frame interpolation,1
motion vector,1
signal encoding,1
coding errors,1
non-binary,1
decoding complexity,1
min-sum,1
min-sum algorithm,1
ldpc codes,1
code rates,1
ldpc code,1
weight distribution,1
weight distributions,1
frequency offsets,1
intercarrier interference (ici),1
intercarrier interference,1
inter-carrier interference,1
timing offsets,1
timing offset,1
frequency offset,1
source-coding,1
source coding,1
carrier frequency offsets,1
carrier frequency offset,1
carrier frequency offset (cfo),1
frequency offset estimation,1
carrier frequency offset estimation,1
cfo estimation,1
space time adaptive processing,1
radio telescopes,1
maximum-likelihood detection,1
airborne radars,1
airborne radar,1
space-time block code,1
space-time block coding,1
space-time block coding (stbc),1
space time block coding,1
successive interference cancellations,1
successive interference cancellation,1
channel coding,1
polar codes,1
coding scheme,1
papr reduction,1
partial transmit sequence,1
iterative decoding,1
low-density parity-check (ldpc) codes,1
low-density parity-check codes,1
low density parity check codes,1
soft-decision decoding,1
soft decision decoding,1
spread spectrum communication,1
spread spectra,1
multiple access interference,1
optical code division multiple access,1
ocdma,1
multiple access interference (mai),1
spread-spectrum,1
spread spectrum,1
convolutional codes,1
convolutional code,1
civil aviation,1
digital video broadcasting,1
digital video broadcasting (dvb),1
key frames,1
image compression,1
digital image storage,1
military photography,1
digital image processing,1
digital image processing technique,1
cmos image sensor,1
cmos image sensors,1
image fusion,1
fused images,1
source images,1
multi-focus,1
multifocus image fusion,1
multifocus images,1
panchromatic images,1
panchromatic image,1
fusion methods,1
fusion algorithms,1
image fusion methods,1
image fusion algorithms,1
digital image,1
digital images,1
medical images,1
medical image,1
color photography,1
heterojunction bipolar transistors,1
gan hemts,1
gan hemt,1
power gains,1
responsivity,1
focal plane arrays,1
hgcdte,1
infrared focal plane arrays,1
nonuniformity correction,1
uncooled,1
superlattices,1
focal plane array,1
helmet mounted displays,1
visual qualities,1
embedding capacity,1
visual quality,1
compression techniques,1
compression methods,1
compression rates,1
compression scheme,1
data compression,1
huffman coding,1
huffman code,1
huffman codes,1
design for testability,1
built-in self-test (bist),1
built-in self test,1
built-in self-test,1
signal distortion,1
intermodulation,1
intermodulation measurement,1
rate distortion theory,1
rate-distortion theory,1
peak signal to noise ratio,1
peak signal to noise ratio (psnr),1
discrete cosine transforms,1
discrete cosine transform(dct),1
discrete cosine transform,1
discrete cosine transform (dct),1
color image processing,1
color computer graphics,1
light reflection,1
cathode ray tubes,1
digital watermarking,1
information hiding,1
steganalysis,1
least significant bits,1
lsb,1
secret messages,1
secret data,1
covert communications,1
covert communication,1
digital rights management,1
digital rights management (drm),1
copyright protections,1
copyright protection,1
watermarked images,1
human visual system (hvs),1
human visual systems,1
watermark extraction,1
watermarking algorithms,1
watermarking techniques,1
watermarking schemes,1
watermark embedding,1
watermark detection,1
steganography,1
covert channels,1
covert channel,1
reconstructed image,1
image quality assessment,1
image quality assessment (iqa),1
optical resolving power,1
optical transfer function,1
motion blur,1
defocus,1
point spread function (psf),1
point spread function,1
point-spread functions,1
point-spread function,1
multidetector computed tomography,1
image coding,1
visual communication,1
motion estimation,1
image sequence,1
image sequences,1
video streaming,1
video streams,1
control point,1
b spline curve,1
b-spline curve,1
control points,1
block codes,1
linear codes,1
linear code,1
cyclic codes,1
cyclic code,1
digital television,1
interactive television,1
interactive tv,1
digital radio,1
binary codes,1
network coding,1
linear networks,1
unicast,1
multicast traffic,1
multimedia signal processing,1
packet loss,1
packet losses,1
selective encryption,1
video encryption,1
"imaging, three-dimensional",1
electron tomography,1
computerized tomography,1
diagnostic radiography,1
electric impedance tomography,1
electrical capacitance tomography,1
electrical impe dance tomography (eit),1
electrical impedance tomography,1
positron annihilation spectroscopy,1
nuclear sciences,1
single photon emission computed tomography,1
single photon emission computed tomography (spect),1
micro ct,1
micro-ct,1
image-guided radiotherapy,1
image guided radiotherapy,1
anatomic landmarks,1
anatomic landmark,1
moems,1
image registration,1
registration algorithms,1
geometric transformations,1
geometric transformation,1
image restoration,1
image resolution,1
high spatial resolution,1
inverse problems,1
inverse analysis,1
inverse scattering,1
inverse methods,1
inverse method,1
regularization methods,1
regularization method,1
scattered field,1
inverse problem,1
image segmentation,1
edge detection,1
edge detectors,1
corner detection,1
canny operators,1
canny operator,1
image edge detection,1
edge detection algorithms,1
edge detection methods,1
mathematical morphology,1
morphological filters,1
morphological filter,1
morphological operations,1
morphological operation,1
morphological operator,1
morphological operators,1
granulometry,1
granulometries,1
thresholding,1
automatic segmentations,1
automatic segmentation,1
markov random field (mrf),1
markov random fields,1
markov random field,1
level measurement,1
drop breakup,1
level sets,1
level-set,1
level-set method,1
level set method,1
level set methods,1
high resolution remote sensing,1
high resolution remote sensing images,1
water-shed algorithm,1
watershed algorithm,1
medical imaging,1
imaging systems,1
optical data processing,1
optical variables measurement,1
optical testing,1
primary mirrors,1
surface testing,1
infra-red cameras,1
infrared camera,1
bolometers,1
cosmic microwave backgrounds,1
cosmic microwave background,1
bolometer,1
optical data storage,1
holographic interferometry,1
free-space optical communication,1
free space optical communication,1
free-space optical communications,1
satellite navigation aids,1
doppler radar,1
optical-,1
integrated optoelectronics,1
imaging techniques,1
heterodyning,1
fabry-perot interferometers,1
fabry-perot interferometer,1
optoelectronic devices,1
electrooptical devices,1
semiconductor quantum wells,1
semiconductor device structures,1
semiconductor growth,1
metallorganic vapor phase epitaxy,1
semiconducting gallium,1
gaas,1
gan,1
algan/gan hemts,1
algan/gan,1
high electron mobility transistors,1
electron mobility,1
microwave integrated circuits,1
rf-mems,1
rf-mems switches,1
rf mems,1
monolithic microwave integrated circuits,1
corundum,1
integrated optics,1
energy harvester,1
optical resonators,1
ring gages,1
transmission spectrums,1
am-oled,1
surface plasmon polaritons,1
surface plasmon polariton,1
photonic crystal fibers,1
photonic crystal fiber,1
negative refractions,1
negative refraction,1
electromagnetic band gaps,1
electromagnetic bandgap structures,1
periodic structures,1
periodic structure,1
optical switches,1
optical links,1
optical switch,1
fiber bragg grating (fbg),1
fiber optic components,1
bragg gratings,1
bragg grating,1
fbg,1
refractometers,1
strain sensors,1
strain sensor,1
temperature sensors,1
temperature sensor,1
fiber bragg gratings,1
fiber bragg grating,1
phase modulation,1
electromagnetic dispersion,1
infrared detector,1
infrared detectors,1
infrared imaging,1
thermography (imaging),1
thermal model,1
thermal imaging,1
thermography (temperature measurement),1
de-noising,1
3d imaging,1
3-d imaging,1
synthetic aperture radar,1
radar imaging,1
radar measurement,1
electromagnetic wave backscattering,1
scatterometers,1
scatterometer,1
radar cross section,1
radar cross section (rcs),1
weather satellites,1
radar equipment,1
passive radars,1
passive radar,1
radar systems,1
radar target recognition,1
tracking radar,1
shuttle radar topography mission,1
srtm,1
electromagnetic wave polarization,1
electromagnetic wave reflection,1
electromagnetic wave absorption,1
evanescent wave,1
evanescent waves,1
ionospheric electromagnetic wave propagation,1
electromagnetic wave attenuation,1
antenna feeders,1
antenna lobes,1
antenna radiation,1
circular polarization,1
rectangular waveguides,1
slot antennas,1
planar antennas,1
planar antenna,1
slot antenna,1
electromagnetic scattering,1
electromagnetic wave diffraction,1
ray tracing,1
ray-tracing,1
metamaterials,1
unit cells,1
leaky wave antennas,1
reflectarrays,1
reflectarray,1
metamaterial,1
polarimeters,1
ellipsometry,1
speckle,1
speckle patterns,1
backscattering,1
backscatter,1
internal waves,1
internal tide,1
internal tides,1
internal wave,1
clutter (information theory),1
clutter,1
moving targets,1
moving target,1
ocean currents,1
current velocity,1
acoustic doppler current profiler,1
mesoscale eddy,1
mesoscale eddies,1
tidal currents,1
tidal current,1
eddy,1
eddies,1
proxy climate record,1
electromagnetic wave scattering,1
electromagnetic wave propagation,1
electromagnetic field theory,1
electric conductors,1
conductive materials,1
change detection,1
synthetic aperture radar (sar),1
synthetic aperture radar (sar) images,1
acoustic devices,1
structured light,1
fourier,1
multiresolution analysis,1
multi-resolution analysis,1
interactive computer graphics,1
information visualization,1
treemap,1
tree-maps,1
graph drawing,1
virtual worlds,1
virtual spaces,1
virtual space,1
virtual world,1
nintendo wii,1
fluid simulations,1
fluid simulation,1
scientific visualization,1
scientific visualizations,1
tangible user interfaces,1
tangible user interface,1
videogames,1
video game,1
video games,1
interactive visualizations,1
visual analysis,1
interactive visualization,1
visualization method,1
visualization technique,1
visualization techniques,1
visualization tools,1
visualization system,1
three dimensional computer graphics,1
3d simulations,1
3d simulation,1
triangle mesh,1
triangle meshes,1
geometric modeling,1
computer aided geometric design,1
geometric models,1
hospital information systems,1
hospital information system,1
image reconstruction,1
reconstruction,1
3d reconstruction,1
3-d reconstruction,1
reconstruction algorithms,1
reconstruction algorithm,1
remote sensing imagery,1
remote sensing images,1
remote sensing image,1
regularization,1
three dimensional imaging,1
video amplifiers,1
radon transform,1
radon transforms,1
impulse noise,1
salt-and-pepper noise,1
image enhancement,1
two-photon absorptions,1
two-photon absorption,1
diffusion weighted imaging,1
diffusion-weighted imaging,1
vbm,1
voxel based morphometry,1
voxel-based morphometry,1
computer vision,1
machine vision,1
machine vision systems,1
shape recovery,1
computer applications,1
industrial electronics,1
shipyards,1
mobile applications,1
mobile application,1
computer application,1
sensor data fusion,1
fusion reactions,1
multisensor data fusion,1
multi-sensor data fusion,1
nuclear physics,1
multi sensor,1
multi-sensor,1
multi-target tracking,1
multitarget,1
multi-target,1
multitarget tracking,1
target detection,1
optical sensors,1
micro-cantilevers,1
microcantilever,1
optical sensor,1
lidar data,1
airborne lidar data,1
airborne lidar,1
geostationary satellites,1
geostationary satellite,1
accuracy assessment,1
data assimilation,1
ensemble kalman filter,1
spatial data,1
vector data,1
geographical information system (gis),1
geographical information systems,1
gis,1
morphodynamics,1
reflectometers,1
terahertz time domain spectroscopy,1
time domain reflectometry,1
time domain reflectometry (tdr),1
ka band,1
ka-band,1
wavelet transforms,1
wavelet coefficients,1
wavelets,1
wavelet,1
hilbert transform,1
analytic signals,1
analytic signal,1
nonexpansive mappings,1
nonexpansive mapping,1
strong convergence,1
hilbert transforms,1
time-frequency analysis,1
s transforms,1
s-transform,1
time frequency analysis,1
multiwavelets,1
multi-wavelets,1
multiwavelet,1
fourier transforms,1
short time fourier transform,1
short time fourier transforms,1
short-time fourier transform,1
fractional fourier domains,1
fractional fourier transforms,1
fractional fourier transform,1
frequency domain analysis,1
frequency domains,1
frequency domain,1
modal parameters,1
linear phase,1
cyclic prefix,1
instantaneous frequency,1
electric frequency measurement,1
time domain analysis,1
maxwell equations,1
wave equations,1
wave equation,1
finite difference method,1
discrete element method,1
discrete element method (dem),1
fdtd,1
fdtd method,1
difference schemes,1
difference scheme,1
finite difference time domain method,1
absorbing boundary condition,1
absorbing boundary conditions,1
finite-difference time-domain method,1
finite-difference time-domain,1
finite difference time domain,1
finite-difference time-domain (fdtd) methods,1
finite difference time domains,1
finite-difference time-domain (fdtd),1
finite difference time-domain,1
finite difference methods,1
time-domain,1
orthogonal frequency division multiplexing systems,1
time domain,1
time domains,1
method of moments,1
influence functions,1
influence function,1
dipole antennas,1
dipole antenna,1
method of moments (mom),1
electromagnetic wave interference,1
electromagnetic shielding,1
magnetic shielding,1
discrete fourier transform (dft),1
discrete fourier transforms,1
discrete fourier transform,1
fourier transform,1
generalized gaussian distributions,1
generalized gaussian distribution,1
empirical mode decomposition (emd),1
empirical mode decomposition,1
wavelet transform,1
optical filters,1
optical communication equipment,1
fiber lasers,1
optical pumping,1
fiber laser,1
drawing (graphics),1
drawings,1
surveillance cameras,1
video surveillance,1
video surveillance systems,1
surveillance video,1
surveillance systems,1
surveillance system,1
image processing,1
median filtering,1
median filter,1
median filters,1
display devices,1
head mounted display,1
head mounted displays,1
head-mounted display,1
wearable computers,1
wearable computer,1
parallel processing,1
gpgpu,1
processing elements,1
cellular neural networks,1
